,Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,Unique Received From Addresses,Unique Sent To Addresses,min value received,avg val received,min val sent,max val sent,avg val sent,total Ether sent,total ether received,total ether balance
0,0x87d884aaa6ff9e9b6014631b0abae80b53953fb8,1,5151.676667,15159.07778,71235.61667,5,3,0,1,1,0.01,0.013366667,0.0,0.0,0.0,0.0,0.0401,0.0401
1,0xd42393df90d582bd8a5493171f0173e3a017d391,1,1179.016667,1124.888889,25126.45,7,15,0,13,6,0.0,0.176666667,0.145,1.35,0.419269824,2.93488877,2.65,-0.28488877
2,0x3025c36d8a9620d3df89e9e9b1acbdfd639a6f37,1,361.7333333,0.0,723.4666667,2,1,0,1,2,4.999916,4.999916,2.49,2.509076,2.499538,4.999076,4.999916,0.00084
3,0x6309f709faad518fc158af4c14edfa7b06424770,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0x3d020954e30c3d40b7f0c533cf198bc10dd45a49,1,14280.6,1479.855556,45357.56667,1,21,0,21,1,0.035,0.099285714,2.084657787,2.084657787,2.084657787,2.084657787,2.085,0.000342213
5,0xb300f2a0fa449b97a1069ea7ad654aca486f64b5,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0x83915e4ff807ba28b53931f923247c9fa0147eb9,1,212.6333333,59.16410256,3746.0,14,13,0,12,7,7.71575e-06,0.03725157,0.0,10.0,0.937928571,13.131,0.484270408,-12.64672959
7,0x0f38DAeCb3FB7b87A8d3ED168822c1bC53e8202C,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0xcc320aa1fe572798a1f900cfa0df6524b04c9624,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0xe7860fd151cbbad28141dfd4cc7cd6d090e4ead8,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0x645a58a563ab8c94207e8faea54bcb97e02d23c9,1,49585.61358,7595.080159,1498308.25,27,21,0,18,23,0.000772811,0.017396892,0.0,0.2493689,0.024702084,0.666956259,0.365334741,-0.301621519
11,0x7cb3ce3248e7c0cd320f3440d437a92a54f541f0,1,406.6314815,13484.12917,165469.2333,9,12,0,12,2,0.002,0.207538272,0.0019349,1.5189748,0.276364821,2.487283389,2.49045926,0.003175871
12,0xdce6ee48dc59da247ad93430e18c87b653f4c3d6,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0xe45f73dad6af24273b361f02c3749f13c2231080,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0xbfdf5f7ac2962b334ec2833ddd9ff30961b58a36,1,2810.733333,5.341666667,2821.416667,1,2,0,2,1,2.26661189,3.633305945,7.26575089,7.26575089,7.26575089,7.26575089,7.26661189,0.000861
15,0x8c055eA629051c87AE6D801d301B59C166F77475,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0x610eacbc066f8bb1f7853316e214b6bb328b4e8b,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0x8e10f088e0a046b2467f89114520381f2b5d7873,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0x9356794614Efd99a81578425006365b8b697B600,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0xdcd0f8aa447f94e24a86732f8aeb7f6fb9373e5d,1,11.65333333,78.2,371.0666667,5,4,0,2,2,0.007398993,0.075653404,0.0,0.085339348,0.030729204,0.153646018,0.302613616,0.148967598
20,0xd7ef26F0cF2E21df02AD391d89226c7a72EFA4a0,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0xc33d3c60890caca95f957861b99cfd06a56abe57,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0x13e69be8c633475022b8775e3bd99040107866e3,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0x868413a5D2FE073114e5358C576779AD10dF2644,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0x1A52C0ae2b39dBf85E3f67f95d0F3075611A003c,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0x8184f473d2c9ed1df39990b0f541197bc533c826,1,25166.125,589.7993827,66256.83333,2,27,0,21,2,0.0,0.07737037,0.20155,1.886981759,1.04426588,2.088531759,2.089,0.000468241
26,0x8512c6806e8b53a370ea8e8036c33388b825df24,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0xda16d90f207b3aab70eb5aec84ecd1a87912b825,1,7140.266667,1.230952381,7148.883333,1,7,0,7,1,2.0,2.0,13.99916,13.99916,13.99916,13.99916,14.0,0.00084
28,0x760651cb3e8f56475b74ca8380a97f95f7ee2793,1,219.16875,166.9287356,6594.283333,8,29,0,22,2,0.2,0.289655172,1.0,1.0,1.0,8.0,8.4,0.4
29,0x6ffa0352963976e336d6f9868beec68c860c6b01,1,143.1666667,525.3732704,78596.23333,160,106,0,67,65,0.000515779,0.585860372,0.0,12.74867504,0.627915583,100.4664933,62.10119938,-38.36529389
30,0xd868A76A1dcc34854903376e734e3CFe461DD08C,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0x23dd18fc61248395ad63cb8c25f8136652908295,1,11158.7256,29400.38005,2399871.3,28,71,0,48,19,0.0,0.072328052,0.0,1.658992735,0.175289035,4.908092979,5.135291717,0.227198738
32,0xF9390CdA498171e748cD0B43FF65f747867E3eD3,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0x05fBf1E3f105df6a4553f3C7f2ed93070A4BAB46,1,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0xad3e6c0a38f20398d444ee9ac1a911f6563b5028,1,100.15,226.9108073,59290.96667,12,256,0,209,4,0.08,0.197521765,0.15,25.48533637,4.224060104,50.68872125,50.56557173,-0.12314952
35,0xa2eb8f9174d70befaa253fcd9af256e3379d8a06,1,1913.576344,9273.27619,124233.8,31,7,0,5,14,0.004747481,0.048554388,0.0,1.238205133,0.183016717,5.67351822,0.339880713,-5.333637508
